land,einwohner_in_millionen,entwicklung_einwohner_seit_2012,flaeche_in_km2,einwohner_pro_km2,bip_je_einwohner_in_usd,gesamtausgaben_bildung_prozentual_zum_bip,gesamtausgaben_bildung_pro_kopf,strassennetz_in_km ,anzahl_registrierter_pkws_in_1000,neuzulassung_plug_in_hybride,neuzulassung_elektrofahrzeuge,anzahl_ladestationen,ladestationen_pro_1000_einwohner_2020,ladestationen_pro_1000_einwohner_2021,pkw_pro_ladepunkt,pro_100km_autobahn,reifegrad_elektroinfrastruktur_2021,reifegrad_elektroinfrastruktur_2022
Belgien,11.63,4.33%,30528,381,51875,6.40%,3320,1763,5889,47761,15044,13695,0.71,1.15,518,50,5,6
Deutschland,83.24,3.36%,357376,233,50795,5.00%,2540,13192,48249,325449,194163,59410,0.53,0.77,1014,73,4,3
Dänemark,5.87,4.74%,42924,137,67758,7.80%,5285,1354,2724,40478,14218,5752,0.51,1.05,727,59,4,5
Finnland,5.55,2.36%,338440,16,54008,6.30%,3403,933,3633,20139,4245,5497,0.60,0.99,951,100,5,6
Frankreich,67.84,2.80%,633187,107,44853,5.40%,2422,11660,38346,141001,109597,37128,0.67,0.78,718,48,5,4
Italien,58.98,-0.80%,302073,195,35473,4.30%,1525,6977,39718,70472,30930,23543,0.22,0.45,2273,37,4,3
Niederlande,17.59,4.65%,41540,423,58292,5.40%,3148,2789,8794,31016,72858,90284,3.53,4.81,109,106,9,10
Norwegen,5.46,7.77%,385207,14,89090,7.60%,6771,580,2935,38166,82212,7689,3.40,4.50,147,780,9,8
Polen,37.65,-0.74%,312679,120,17815,4.60%,819,1712,25114,9269,4619,2811,0.02,0.08,7507,58,2,3
Portugal,10.35,-2.05%,92226,112,24264,4.70%,1140,3065,5566,15660,,4124,0.20,0.42,1596,37,3,2
Schweden,10.45,9.42%,438574,24,60029,7.60%,4562,2179,4943,77842,27981,25197,0.92,2.01,353,125,4,7
Schweiz,8.74,8.76%,41285,212,93720,4.90%,4592,1544,4658,21790,19800,7200,0.85,1.20,575,130,5,7
Slowakei,5.43,0.74%,49035,111,21053,4.00%,842,521,2440,1166,,1367,0.11,0.32,1851,3,4,4
Spanien,47.43,1.18%,505944,94,30090,4.20%,1264,15722,24717,43226,19186,10480,0.16,0.31,3118,21,3,3
Tschechien,10.52,1.80%,78868,133,26411,4.30%,1136,1298,6049,3907,,2189,0.09,0.25,4576,94,3,5
Ungarn,9.69,-2.12%,93011,104,18968,4.60%,873,1774,3921,4236,3047,2541,0.10,0.26,1813,31,3,4
Österreich,8.98,6.24%,83879,107,53368,5.20%,2775,1749,5092,14626,15972,13110,0.91,1.92,594,115,6,8
